Programs,Stimulation Score,TV or YouTube,Target Age Group,Seasons,,Avg. Epsiode,"Themes, Teachings, Guidance",Interactivity Level,Animation Styles,Dialougue Intensity,Sound Effects,Music Tempo,Total Music,Total Sound Effect Time,Scene Frequency
Canticos (2016-present),3,TV,1-5,3 Seasons,,3 minutes,"Cultures & Traditions, Cultural & Social, Cultural Appreciation, Language Learning, Literacy, sing-a-long, Music",High,"Digital 2D animation with a simple, storybook-inspired art style. The characters are designed with soft, rounded features and bright, pastel colors, reflecting the show's musical and educational focus. The animation often incorporates interactive elements, encouraging audience participation.",Moderate-High,Moderate,Moderate-High,High,Moderate,Moderate-High
Captain Planet and the Planeteers (1990-1996),4,TV,7-12,6 Seasons,,23 minutes,"Super Hero Themes, Enviromental Awareness, Teamwork, Ecosystems, Responsibility, Social Development, Entertainment, Mild Peril",Moderate,Traditional 2D Animation with Bold Designs,High,High,High,High,High,High
Care Bears: Unlock the Magic (2019-present),3,TV,4-8,2 Seasons,,11 minutes,"Learning from Mistakes, Emotional Intelligence, Social-Emotional, Social Development, Friendship",Moderate,"2D Digital Animation with a modern, vibrant design. Color Palette: Bright and pastel colors with high saturation.",Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Casper Babypants,2,YouTube,1-5,,,,"Preschool-Basics, Music, sing-a-long, Vocabulary, Dance, Relaxation, Repetitive Learning, Language Learning, Literacy, Numeracy, Phonics, Routine, Bedtime Routines, Motor Skills, Sensory Exploration, Cognitive Development",Moderate,Simple Animations or Live-Action with Gentle Imagery,Moderate (Singing),Moderate,Moderate,Very-High,Low-Moderate,Low-Moderate
Charlie's Colorform City,2,TV,2-5,3 Seasons,,13 minutes,"Creativity & Imagination, Preschool-Basics, Shapes, Colours, Critical Thinking, Cognitive Development, Repetitive Learning",High,2D Digital Animation using Colorforms-inspired designs. Color Palette: Bright and bold primary colors with simple shapes.,Moderate,Low-Moderate,Moderate,Moderate,Low,Moderate
Chip and Potato,3,TV,3-6,2 Seasons,,11 minutes,"Overcoming Fears, Social-Emotional, Friendship, Problem Solving, Family Values, Emotional Intelligence, Perseverance",Moderate,"2D Digital Animation with soft, rounded designs. Color Palette: Warm and pastel colors.",Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
City of friends,3,TV,3-6,2 Seasons,,11 minutes,"Community Service, Teamwork, Responsibility, Problem Solving",Moderate,3D CGI Animation with detailed environments.,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
CITY VEHICLES,5,YouTube,2-5,,,,"Vehicle Themes, Creativity & Imagination, Engineering Concepts, Mechanics, Problem Solving, Teamwork, Music, Entertainment",Low,3D CGI Animation with Bright Colors and Realistic Models,Moderate,High,High,Very-High (Repetative) ,Very-High (Repetative) ,High
Clifford the Big Red Dog (2000),2,TV,4-8,3 Seasons,,26 minutes,"Emotional Intelligence, Social Development, Problem Solving, Friendship, Community",Low to Moderate,Digital 2D animation,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Clifford the Big Red Dog (2019),3,TV,3-6,,,22 minutes,"Emotional Intelligence, Friendship, Problem Solving, Social Development, Community",Low to Moderate,3D CGI animation,Moderate,Moderate-High,Moderate,Moderate,Moderate,Moderate
Cloudbabies,2,YouTube,2-5,,,,"Enviromental Awareness, Social-Emotional, Responsibility, Teamwork, Social Development, Routine, Bedtime Routines, Natural World, Natural Science, Relaxation, Nature, sing-a-long",Moderate,3D CGI Animation with a soft aesthetic. Color Palette: Pastel colors and gentle hues.,Moderate,Low-Moderate,Moderate,Moderate-High,Low-Moderate,Low-Moderate
CoasterFan2105,3,YouTube,Any,,,,"Engineering Concepts, Cultural Appreciation, Locomotive History, History, Hobbies, Entertainment, Travel Geography, Curiosity, Machinery, Trains",Low to Moderate,High-Definition Live-Action Footage,Low,High,Low-Moderate,Low,High,Moderate
Cocomelon,5,TV,1-4,10 Seasons,,05-55 minutes Compilation videos,"Preschool-Basics, Numeracy, Literacy, Shapes, Routine, Social-Emotional, Cognitive Development, Language Learning, sing-a-long",High,3D CGI Animation with extremely bright and vivid colors.,Low,High,Moderate-High,Very-High,High,High
Codename: Kids Next Door,4,TV,7-12,6 Seasons,,22 minutes,"Creativity & Imagination, Teamwork, Problem Solving, Courage, Mischievious Behaviour, Mild Fantasy Violence",Low to Moderate,2D Digital Animation with stylized character designs. Color Palette: Bright and varied colors with bold outlines.,High,High,Moderate-High,High,High,High
Colourblocks,3,YouTube,3-6,,,,"Preschool-Basics, Creativity & Imagination, Colours, Shapes, Art, Motor Skills, Colour Combinations",High,2D Digital Animation using Colorforms-inspired designs. Color Palette: Bright and bold primary colors with simple shapes.,Moderate-High,Moderate,Moderate-High,High,Moderate,Moderate-High
Cosmic kids yoga,3,YouTube,3-8,,,,"Life Lessons, Positive Engaging Screen-Time, Mindfulness, Exercise, Yoga, Emotional Intelligence, Routine, Sensory Exploration, Relaxation, sing-a-long, Positve Mindset",High,Live-Action with Colorful Green Screen Animations,High,Moderate,Moderate,Moderate-High,Moderate,Moderate
Courage the Cowardly Dog (1999-2002),5,TV,10-14,4 Seasons,,23 minutes,"Creativity & Imagination, Overcoming Fears, Problem Solving, Entertainment, Humor, Courage, Perseverance, Dark Themes, Surreal Imagery, Mild Intense Scenes",Low to Moderate,Traditional 2D Animation with surreal and sometimes dark visuals. Color Palette: Varied colors with contrasting dark and bright tones.,Moderate,High,Varies,High,High,High
Cowboy Jack,4,YouTube,3-8,,,,"Cultures & Traditions, Cultural & Social, Positive Role Models, Life Lessons, Exploration, Relatable Situations, Vocabulary, Social Development, Social-Emotional, Curiosity, History, Adventure, Discovery, Travel Geography",High,Live-Action with Real-World Exploration,High,Moderate-High,Moderate-High,High,Moderate-High,High
Creature Cases,4,TV,4-8,4 Season,,10 minutes,"Creativity & Imagination, Preschool-Basics, Mystery, Animals, Animal Behaviour, Nature, Problem Solving, Teamwork, Curiosity, Humor, Friendship",Moderate,3D CGI,Moderate-High,Moderate,Moderate,Moderate,Moderate,Moderate-High
Curious George (2006-present),2,TV,3-6,15 Seasons,,23 minutes,"STEM, Motor Skills, Discovery, Science, Curiosity, Exploration",Moderate,Digital hand-drawn 2D artwork animation.,Moderate,Moderate,Moderate,Moderate-High,Moderate-High,Moderate
Cyberchase (2002-present),4,TV,8-12,15 Seasons,,23 minutes,"STEM, Problem Solving, Critical Thinking, Math, Science, Entertainment",High,traditional 2D hand-drawn animation. Digital in later series.,Moderate-High,High,Moderate-High,High,High,Moderate
Daniel Tiger's Neighbourhood,2,TV,2-5,7 Seasons,,26 minutes,"Communiction & Expression, Life Lessons, Social-Emotional, Emotional Intelligence, Problem Solving, Social Development, Relatable Situations, Friendship, Family Relationships",High,Digital 2D animation,Moderate,Low,Low-Moderate,High,Low,Low-Moderate
Danny Go!,5,YouTube,3-7,,,,"Physical Fitness, Cultural Appreciation, Creativity & Imagination, Preschool-Basics, sing-a-long, Phonics, Entertainment, Interactive Game Elements, Dance, Repetitive Learning, Music, Exercise",High,Live-Action with Bright Colors and Interactive Elements,High,High,High,High,High,High
Davey and Goliath,2,TV,4-8,5 Seasons,,15 minutes,"Cause and Effect, Life Lessons, Morality, Family Values, Religion, Responsibility, Emotional Intelligence",Moderate,Stop-Motion Animation using clay figures,Moderate,Low,Low-Moderate,Moderate,Low,Moderate
De Zoete Zusjes,3,YouTube,4-10,,,,"Creativity & Imagination, Family Values, Family Relationships, Relatable Situations, Problem Solving, Vocabulary, Dutch Language",Moderate,Live-Action with Puppetry and Props,Moderate-High,Moderate,Moderate,Moderate,Moderate,Moderate-High
DG Bible Songs,3,YouTube,3-8,,,,"Religious Teachings, Cultural Appreciation, Cultures & Traditions, Spiritual Development, Biblical Stories, Religion, sing-a-long, Family Values, Music, Christian Values, Faith, Social-Emotional",Moderate,high-quality animation and music,Moderate (Singing),Moderate,Moderate,Very-High,Moderate,Moderate
Diego,4,TV,3-6,,,24 minutes,"Cultural & Social, Enviromental Awareness, Animal Behaviour, Wildlife Conservation, Language Learning, Problem Solving, Natural World",High,2D digital animation with a hand-drawn look. Bright and cheerful colors with simple backgrounds,High,High,Moderate-High,Moderate-High,High,High
Digimon: Digital Monsters,5,TV,8-14,4 Seasons,,22 minutes,"Teamwork, Friendship, Perseverance, Entertainment, Adventure, Fantasy Elements, Mild Fantasy Violence",Low,Traditional 2D Anime-style Animation.,High,High,Moderate-High,High,High,High
Dino Dana,3,TV,5-9,4 Seasons,,24 minutes,"Creativity & Imagination, Paleontology, Science, Curiosity, Problem Solving, Critical Thinking, Natural History, Ecosystems",High,Live-Action with CGI Dinosaurs. Color Palette: Natural colors with realistic environments.,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Dino Ranch,3,TV,3-6,3 Seasons,,11 minutes,"Teamwork, Responsibility, Problem Solving, Adventure, Dinosaurs",Moderate,3D CGI animation,Moderate,Moderate,Moderate-High,Moderate,Moderate-High,Moderate
Dinosaur train,5,TV,3-6,7 Seasons,,26 minutes,"STEM, Friendship, Paleontology, Natural History, Dinosaurs, Natural World, Exploration, Science",Moderate,3D CGI animation,High,High,Moderate-High,High,High,Moderate-High
Dinotrux,4,TV,4-8,5 Seasons,,23 minutes,"Creativity & Imagination, Teamwork, Entertainment, Problem Solving, Engineering Concepts, Dinosaurs, Perseverance",Moderate,3D CGI Animation with detailed characters and environments. Color Palette: Bright and vivid colors with metallic textures.,Moderate,High,Moderate-High,High,High,High
Doc McStuffins,3,TV,3-6,5 Seasons,,24 minutes,"Health & Well-being, Social-Emotional, Problem Solving, Emotional Intelligence, Medical Care, Curiosity",High,"3D CGI Animation with soft, rounded designs. Color Palette: Bright and cheerful colors.",Moderate-High,Moderate,Moderate,Moderate,Moderate,Moderate
Doggyland,4,YouTube,2-6,,,,"Preschool-Basics, Learning through Songs, Dance, sing-a-long, Cognitive Development, Literacy, Numeracy, Colours, Shapes, Animals, Social-Emotional, Repetitive Learning, Music",High,3D Animation with Bright Colors and Anthropomorphic Dogs,High,High,High,Very-High,High,High
Dora the Explorer (2000-2014),5,TV,2-6,8 Seasons,,23 minutes,"Elementary-Basics, Language Learning, Problem Solving, Geography, Teamwork, Cognitive Development, Adventure",High,Digital 2D animation,High,High,High,High,High,High
Dragon Ball,5,TV,10-16,1 Season,,24 minutes,"Super Hero Themes, Positive Role Models, Entertainment, Adventure, Martial Arts, Fantasy Elements, Morality, Mild Violent themes, Mild Fantasy Violence, Mild Peril",Low,2D Hand-drawn animation (Anime style).,High,Very-High,Moderate-High,High,High,High
Dragon Tales,2,TV,3-7,3 Seasons,,26 minutes,"Creativity & Imagination, Emotional Intelligence, Teamwork, Social Development, Social-Emotional, Problem Solving, Perseverance",Low to Moderate,Traditional 2D Animation with soft designs. Color Palette: Pastel colors with whimsical settings.,Moderate,Low-Moderate,Moderate,Moderate,Low,Moderate
Duck & Goose,2,TV,2-5,2 Seasons,,07 minutes,"Problem Solving, Friendship, Social-Emotional, Teamwork, Emotional Intelligence, Social Development",Moderate,2D Digital Animation with a watercolor aesthetic. Color Palette: Soft and natural colors with pastel hues.,Moderate,Low-Moderate,Moderate,Moderate,Low-Moderate,Low-Moderate
Ed Edd n Eddy,5,TV,8-12,6 Seasons,,22 minutes,"Cause and Effect, Creativity & Imagination, Friendship, Problem Solving, Humor, Mischievious Behaviour",Low,Traditional 2D Animation with exaggerated designs. Color Palette: Bright colors with bold outlines.,High,High,Moderate-High,High,High,High
Elena of Avalor,4,TV,5-9,3 Seasons,,22 minutes,"Cultural Appreciation, Cultures & Traditions, Positive Role Models, Leadership, Responsibility, Emotional Intelligence, Morality",Moderate,3D CGI Animation with detailed designs. Color Palette: Bright and vibrant colors with cultural motifs.,High,High,Moderate-High,High,High,High
Elmo's World,2,TV,1-4,14 Seasons,,15 minutes,"Preschool-Basics, Motor Skills, sing-a-long, Dance, Social-Emotional, Numeracy, Literacy, Colours, Shapes",High,Combination of Live-Action and 2D Animation. Color Palette: Bright and primary colors.,Moderate,Moderate,Moderate-High,Moderate,Low-Moderate,Low-Moderate
English Tree,3,YouTube,2-6,,,,"Learning through Songs, Repetitive Learning, Literacy, Phonics, Vocabulary, Music, Numeracy, Colours, Shapes, Cognitive Development, Language Learning, sing-a-long",High,2D and 3D Animation with Bright Colors and Simple Characters,Moderate-High,Moderate,Moderate,High,Moderate,Moderate
"Ernst, Bobbie en de rest",3,TV,4-8,7 Seasons,,25 minutes,"Problem Solving, Teamwork, Humor, Social Development, Perseverance",Moderate,"Dutch children's show, Live-Action with comedic elements. ",High,Moderate,Moderate,Moderate,Moderate,Moderate
Fireman Sam (1987),2,TV,4-8,15 Seasons,,10 minutes,"Positive Role Models, Community Service, Safety, Teamwork, Problem Solving, Responsibility",Low to Moderate,Traditional Stop-Motion animation,Moderate,Low-Moderate,Moderate,Moderate,Low-Moderate,Low
Fireman Sam (2008) ,4,TV,3-6,,,10 minutes,"Positive Role Models, Community Service, Safety, Teamwork, Problem Solving, Responsibility",Low to Moderate,3D CGI animation,Moderate,Moderate-High,Moderate,Moderate,Moderate,Moderate-High
Franklin (1997-2004),1,TV,4-8,6 Seasons,,22 minutes,"Social-Emotional, Friendship, Problem Solving, Relatable Situations",Low to Moderate,Traditional Hand-drawn 2D animation,Moderate,Low,Low,Low-Moderate,Low,Low
Franklin and Friends (2011),3,TV,3-6,,,23 minutes,"Social-Emotional, Friendship, Teamwork, Relatable Situations, Problem Solving",Low to Moderate,3D CGI animation,Moderate,Low-Moderate,Low-Moderate,Low-Moderate,Low,Low-Moderate
Frog and Toad,1,TV,3-7,2 Seasons,,13 minutes,"Friendship, Problem Solving, Emotional Intelligence, Nature, Relatable Situations, Patience",Moderate,2D Digital Animation with a hand-drawn aesthetic.,Moderate,Low,Low-Moderate,Moderate,Low,Low
Gabby's Dollhouse,4,TV,3-7,10 Seasons,,24 minutes,"Creativity & Imagination, Problem Solving, Emotional Intelligence",Moderate,Live-action and 3D CGI animation,Moderate,High,Moderate-High,High,Moderate-High,High
Gecko’s Garage,3,YouTube,2-5,,,,"Vehicle Themes, Engineering Concepts, Mechanics, Teamwork, Shapes, Colours",Moderate,3D CGI Animation with bright and vibrant colors. Color Palette: Bright and cheerful colors with high saturation.,Moderate-High,High,Moderate,Moderate-High,High,Moderate
Genevieve playhouse,3,YouTube,2-5,,,,"Teaching with Toys, Preschool-Basics, Colours, Numeracy, Literacy, Multi-Lingual Learning, Entertainment, Humor, Vocabulary",High,Live-Action Toy Demonstrations with Bright Colors,Moderate,Moderate-High,Moderate,High,High,Moderate-High
Get Rolling with Otis,3,TV,3-6,2 Seasons,,22 minutes,"Problem Solving, Teamwork, Emotional Intelligence, Perseverance, Social Development",Moderate,3D CGI Animation with bright and vibrant colors. Color Palette: Bright and cheerful colors with high saturation.,Moderate,Moderate,Low-Moderate,Moderate,Low-Moderate,Low-Moderate
Gigantosaurus,4,TV,3-6,3 Seasons,,22 minutes,"Adventure, Problem Solving, Teamwork, Dinosaurs, Entertainment",Low to Moderate,3D CGI Animation with detailed and dynamic visuals.,Moderate,High,Moderate-High,High,High,High
GirlsTtoyZZ,4,YouTube,3-8,,,,"Creativity & Imagination, Teaching with Toys, Early Childhood experiences, Sensory Exploration, Entertainment, Toy Review",Low to Moderate,Live-Action with Bright Colors and Simple Settings,Moderate-High,High,Moderate-High,High,High,High
Go Go! Cory Carson,3,TV,2-5,7 Seasons,,7 minutes,"Social-Emotional, Friendship, Problem Solving, Relatable Situations, Emotional Intelligence, Vehicle Themes",Moderate,"3D CGI Animation with stylized and colorful designs. Bright but not overly saturated colors, with a focus on vibrant settings.",Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
"Go, Dog. Go!",4,TV,3-6,4 Seasons,,24 minutes,"Creativity & Imagination, Problem Solving, Friendship, Teamwork, Critical Thinking, Relatable Situations",Moderate,3D CGI Animation with stylized character designs based on the original book illustrations. Color Palette: Bright and vivid colors with a focus on primary colors.,Moderate,Moderate-High,Moderate,Moderate,Moderate-High,High
Gracie's Corner,4,YouTube,3-7,,,,"Cultural Appreciation, Cultural & Social, Learning through Songs, Early Childhood experiences, Literacy, Numeracy, Social-Emotional, sing-a-long, Dance, Music, Healthy Eating, Emotional Intelligence",High,"2D animation with bright, colorful visuals and rhythmic, energetic choreography.",Moderate-High,High,Moderate-High,High,High,High
